Trait,pPC 1,pPC 2,pPC 3,pPC 4,pPC 5,pPC 6,pPC 7,pPC 8,pPC 9,pPC 10,pPC 11
Snout-to-vent length (SVL),0.04,1,-0.01,0,0,0,0,0,0,0,0
Tail length,0.77,0,0.6,0.14,0.1,-0.09,-0.01,0,0.02,0.01,0
Femur length,0.89,-0.03,-0.18,-0.17,0.08,0.21,-0.22,-0.19,0.08,-0.08,0.03
Tibia length,0.93,-0.03,-0.13,-0.11,0.07,0.28,-0.01,0.03,-0.08,0.04,-0.08
Metatarsal IV length,0.96,-0.03,-0.06,-0.07,-0.06,0.16,0.1,0.1,-0.03,0.04,0.1
Hindtoe IV length,0.91,-0.03,-0.12,0.03,-0.35,-0.08,0.03,0.08,0.01,-0.08,-0.03
Humerus length,0.61,-0.03,-0.49,-0.23,0.38,-0.31,0.01,-0.03,-0.29,-0.09,0.03
Radius length,0.65,-0.03,-0.58,-0.26,0.3,-0.11,0.22,0.03,0.16,0,-0.02
Foretoe IV length,0.78,-0.03,-0.47,-0.1,-0.22,-0.27,-0.13,-0.11,0,0.11,0
"Lamella number, hindtoe IV",0.27,-0.01,-0.24,0.87,-0.06,0.07,0.26,-0.2,-0.04,0,0
"Lamella number, foretoe IV",0.11,-0.01,-0.55,0.77,0.17,-0.01,-0.22,0.15,0.03,0,0.01
Variance Explained,0.4,0.33,0.12,0.08,0.03,0.02,0.01,0.01,0,0,0
Cumulative Variance Explained,0.4,0.73,0.85,0.93,0.95,0.97,0.99,0.99,1,1,1
