traits	lat	long
AF196835_Pc_1999.71	40.6288328099296	-73.7795471324953
AF202541_Hs_1999.66	42.6911575499481	-75.887040794704
AF260967_Ec_1999	40.7658346838714	-74.1020335796089
AF404753_Cb_2000	39.43	-76.78
AF404754_Cp_2000	40.95	-74.07
AF404755_Bu_2000	43.46	-76.24
AF404756_Cb_2000	41.2520585962628	-73.9727422503556
AF533540_Hs_2001.71	40.4814108248337	-73.684127333641
AY289214_Hs_2002.62	30.07	-94.11
AY646354_Hs_2002	42.998184526619	-75.7286901112723
AY712945_Zm_2003	29.9712774751268	-95.1795192912304
AY712946_Cc_2003	29.9445269883166	-95.4524873919748
AY712947_Cc_2003	29.7686111473315	-95.215646284324
AY712948_Cq_2003	29.8594226036172	-95.1422294732065
AY795965_Hs_2002	43.74	-84.63
DQ005530_Hs_2003	39.5	-111.55
DQ080051_Ct_2003	31.75	-110.02
DQ080052_Ct_2003	33.38	-112.57
DQ080053_Ct_2003	35.61	-109.46
DQ080054_Cq_2003	34.48	-118.08
DQ080055_Ct_2003	32.7810957540923	-114.851270459075
DQ080056_Ct_2003	32.7552946025283	-115.063076590692
DQ080057_Cb_2003	34.135241083546	-117.817127091085
DQ080058_Cb_2003	34.3754750866677	-118.186801366645
DQ080059_Pn_2003	38.58	-121.49
DQ080060_Cc_2004	30.1669917555248	-115.10563839399
DQ080061_Ccs_2004	29.9079509092003	-92.0861159211978
DQ080062_Cx_2002	29.9656138475888	-91.8897386425258
DQ080063_Cl_2003	30.1846051965229	-115.124834292853
DQ080064_Fa_2003	30.2228139115231	-114.793435304513
DQ080065_Qq_2003	30.4026241175737	-115.070452503316
DQ080066_Px_2003	30.4830093522676	-115.101106080453
DQ080067_Bvs_2003	30.2458155508816	-114.766340425812
DQ080068_Ah_2003	30.1726409540019	-114.747142511368
DQ080069_Ec_2003	24.93	-98.64
DQ080070_Qq_2003	29.35	-111.68
DQ080071_Ec_2002	28.7	-82
DQ080072_Dc_2001	26.69	-80.04
DQ164186_Cb_2002	40.74	-73.79
DQ164187_Cb_2002	42.19	-75.88
DQ164188_Cb_2003	41.13	-73.79
DQ164189_Cb_2003	42.55	-73.94
DQ164190_Cb_2003	41.1260232370589	-72.3923894486584
DQ164191_Cb_2003	42.23	-79.52
DQ164192_Cb_2003	41.2534362339582	-74.1656333086807
DQ164193_Cb_2002	44.85	-73.66
DQ164194_Cb_2001	40.926415823444	-72.8596433790504
DQ164195_Cx_2002	40.7109701748015	-73.6085235768188
DQ164196_Hs_2002	32.4414668617646	-83.4940549441508
DQ164197_Hs_2002	32.5229102000233	-83.18046288819
DQ164198_Hs_2002	31.190315715592	-99.8634423637068
DQ164199_Hs_2003	30.9773532026092	-99.9499275909377
DQ164200_Hs_2002	39.77	-86.44
DQ164201_Hs_2004	34.0257625754175	-112.167575213531
DQ164202_Hs_2002	40.19	-82.67
DQ164203_Ph_2003	39.244136533552	-105.759794601662
DQ164204_Bj_2003	38.8563446081168	-105.509083280922
DQ164205_Hs_2002	30.9730099907286	-100.17192164116
DQ164206_Cc_2004	29.77	-95.31
DQ176637_Qq_2002	34.45	-100.69
DQ431693WG020_Hs_2003.60	35.08	-102.05
DQ431694WG022_Hs_2003.62	34.65	-102.75
DQ431695WG082_Hs_2003	42.08	-87.82
DQ431696WG104_Hs_2003.70	43.04	-87.91
DQ431697WG113_Hs_2003.56	28.1306707252814	-82.2966502090794
DQ431698WG120_Hs_2003.65	28.1831968895698	-82.5215083502803
DQ431699WG124_Hs_2003.73	27.9765713456023	-82.5871589255842
DQ431700WG213_Hs_2004	37.78	-122.46
DQ431701WG214_Hs_2004.53	39.1480077404654	-108.310231105629
DQ431702WG216_Hs_2004.57	38.9112234263744	-108.325807343806
DQ431703WG218_Hs_2004.57	39.0154444150056	-108.774885944398
DQ431704WG219_Hs_2004.57	39.1349042126192	-108.650651286726
DQ431705WG233_Hs_2004.52	44.07	-103.21
DQ431706WG236_Hs_2004.57	35.0644785663935	-106.459706262477
DQ431707WG237_Hs_2004.58	35.1136506454424	-106.881288350251
DQ431708WG238_Hs_2004.54	32.73	-117.17
DQ431709WG240_Hs_2004.54	34.06	-117.67
DQ431710WG244_Hs_2004.58	33.94	-117.95
DQ431711WG251_Hs_2004	33.4909108534333	-111.768529634653
DQ431712WG252_Hs_2004.57	33.3512347557668	-112.064497008648
DQ666448_Hs_2004	33.9803039463383	-112.05157335479
DQ666449_Hs_2005	31.2483075803947	-100.008669081387
DQ666450_Hs_2005	31.3533577780677	-99.9159745856802
DQ666451_Hs_2005	34.1647646749918	-111.944799318526
DQ666452_Hs_2005	44.22	-100.25
DQ983578_Cn_2003	27.64	-80.68
FJ151394_Cb_1999	40.77	-73.99
WG007_Hs_2005.59	31.82	-106.56
WG009_Hs_2005.67	32.28	-106.74
WG011_Hs_2006.66	31.78	-106.5
WG013_Hs_2007.48	31.84	-106.53
WG024_Hs_2003.53	33.81	-117.83
WG080_Hs_2004.56	34.22	-118.44
WG091_Hs_2004.66	34.14	-117.15
WG099_Hs_2004.49	34.04	-117.02
WG101_Hs_2005.57	33.95	-117.73
WG103_Hs_2005.58	33.85	-118.15
WG116_Hs_2005.65	33.84	-118.08
WG124_Hs_2005.69	32.31	-111.21
WG132_Hs_2005.76	33.95	-118.2
WG142_Hs_2006.64	41.26	-96.12
WG144_Hs_2006.67	32.24	-110.92
WG148_Hs_2007.59	34.1	-117.91
WG149_Hs_2007.63	34.24	-118.52
