# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Jan 30 16:38:24 CET 2023 [seed=1289]
# -seed 1289 WNV_HMC_Cauchy_lat.xml
state	joint	prior	likelihood	location.traitLikelihood	treeModel.rootHeight	age(root)	treeLength	location.variance.diagonal	lat.207.1
0	-831.657931110404	-293.30133783794116	-538.3565932724628	-538.3565932724628	9.236476722599999	1998.3935232774002	189.54211632337905	1.0	42.289546921686636
500	-353.7208340345665	-157.5751119548529	-196.1457220797136	-196.1457220797136	9.236476722599999	1998.3935232774002	189.54211632337905	0.16343186808450869	42.56675187138982
1000	-310.71157655114814	-125.66530807010531	-185.04626848104283	-185.04626848104283	9.236476722599999	1998.3935232774002	189.54211632337905	0.12824402913665706	41.48242620243552
1500	-278.40298144340085	-96.07540365083666	-182.32757779256417	-182.32757779256417	9.236476722599999	1998.3935232774002	189.54211632337905	0.09491339056129336	41.340236392522776
2000	-299.3032173528933	-124.38490551912106	-174.9183118337722	-174.9183118337722	9.236476722599999	1998.3935232774002	189.54211632337905	0.0785488229962458	42.220124503896656
2500	-301.8817685892063	-115.72447869589669	-186.15728989330958	-186.15728989330958	9.236476722599999	1998.3935232774002	189.54211632337905	0.1143098362693012	41.00026582554051
3000	-318.6485906812991	-127.93682596974666	-190.71176471155243	-190.71176471155243	9.236476722599999	1998.3935232774002	189.54211632337905	0.1422853371790806	40.74445577626206
3500	-344.21076552674646	-152.85900670793552	-191.35175881881094	-191.35175881881094	9.236476722599999	1998.3935232774002	189.54211632337905	0.20182761900422552	41.3580606803538
4000	-373.48668320990123	-175.77387814450745	-197.71280506539378	-197.71280506539378	9.236476722599999	1998.3935232774002	189.54211632337905	0.24852969398602445	40.340624051920116
4500	-306.12725400593115	-105.78305059453668	-200.34420341139446	-200.34420341139446	9.236476722599999	1998.3935232774002	189.54211632337905	0.15394640519456043	40.72121204508432
5000	-325.59654564314195	-135.6307342980181	-189.96581134512385	-189.96581134512385	9.236476722599999	1998.3935232774002	189.54211632337905	0.17549256633435215	40.895336498796254
5500	-350.81194385288325	-163.56734661413486	-187.24459723874838	-187.24459723874838	9.236476722599999	1998.3935232774002	189.54211632337905	0.16236591480296308	40.66441363612912
6000	-336.53662485971245	-141.44325064204503	-195.0933742176674	-195.0933742176674	9.236476722599999	1998.3935232774002	189.54211632337905	0.21848801640993973	42.494069969039685
6500	-297.10197105135796	-114.77461478411793	-182.32735626724002	-182.32735626724002	9.236476722599999	1998.3935232774002	189.54211632337905	0.10687782965905451	40.670988817946004
7000	-330.03639667790924	-146.70712374779475	-183.3292729301145	-183.3292729301145	9.236476722599999	1998.3935232774002	189.54211632337905	0.13315369491827286	40.59977615231184
7500	-334.36765190196974	-134.0717795470165	-200.29587235495325	-200.29587235495325	9.236476722599999	1998.3935232774002	189.54211632337905	0.20703519989718255	41.123462284396155
8000	-339.36353637634153	-134.66437565245766	-204.69916072388386	-204.69916072388386	9.236476722599999	1998.3935232774002	189.54211632337905	0.25051626734652027	40.38928912307363
8500	-350.9009727122566	-167.1300058671463	-183.7709668451103	-183.7709668451103	9.236476722599999	1998.3935232774002	189.54211632337905	0.20967696516972464	41.67197664729622
9000	-353.08366755275307	-163.38727991056254	-189.69638764219053	-189.69638764219053	9.236476722599999	1998.3935232774002	189.54211632337905	0.20121558508730253	43.0517425716684
9500	-374.894674750793	-175.37181528666378	-199.52285946412925	-199.52285946412925	9.236476722599999	1998.3935232774002	189.54211632337905	0.19716676949840478	40.61604184954809
10000	-326.5675038202953	-150.84300074533775	-175.72450307495757	-175.72450307495757	9.236476722599999	1998.3935232774002	189.54211632337905	0.10645020413555073	41.63799031294059
10500	-319.0460828493102	-134.65324375845114	-184.39283909085907	-184.39283909085907	9.236476722599999	1998.3935232774002	189.54211632337905	0.1240447563035719	40.70277833206245
11000	-340.19146336102904	-150.3292830693567	-189.8621802916723	-189.8621802916723	9.236476722599999	1998.3935232774002	189.54211632337905	0.22307831888779853	42.96528285831933
11500	-371.3911472971576	-188.54921008437606	-182.84193721278154	-182.84193721278154	9.236476722599999	1998.3935232774002	189.54211632337905	0.1992128579729819	41.26746834077573
12000	-380.6765141112337	-182.62307689049118	-198.0534372207425	-198.0534372207425	9.236476722599999	1998.3935232774002	189.54211632337905	0.2588788606736538	40.49257295098281
12500	-334.0756245810431	-149.35158405723672	-184.72404052380637	-184.72404052380637	9.236476722599999	1998.3935232774002	189.54211632337905	0.13706227593174716	42.24081880116478
13000	-356.70541674638133	-174.30920989545479	-182.39620685092655	-182.39620685092655	9.236476722599999	1998.3935232774002	189.54211632337905	0.15299481637823648	40.4391747282569
13500	-367.9796500012208	-176.68964215820955	-191.29000784301127	-191.29000784301127	9.236476722599999	1998.3935232774002	189.54211632337905	0.17119248752876168	40.92768426875329
14000	-322.4638236254989	-135.4092365679794	-187.05458705751946	-187.05458705751946	9.236476722599999	1998.3935232774002	189.54211632337905	0.1079045252657272	40.64024358382391
14500	-346.4838212474753	-158.15990470150214	-188.32391654597316	-188.32391654597316	9.236476722599999	1998.3935232774002	189.54211632337905	0.2214317163787917	42.6674308413819
15000	-343.9144014589715	-170.4154032617574	-173.49899819721406	-173.49899819721406	9.236476722599999	1998.3935232774002	189.54211632337905	0.11126155134767887	40.90589452793743
15500	-319.60808994048745	-147.17605622275357	-172.43203371773387	-172.43203371773387	9.236476722599999	1998.3935232774002	189.54211632337905	0.10665655000916394	40.95475433318722
16000	-350.3062323021086	-165.95814568382747	-184.34808661828114	-184.34808661828114	9.236476722599999	1998.3935232774002	189.54211632337905	0.18066653243817	41.34841332793489
16500	-333.553020045639	-154.1048300075669	-179.4481900380721	-179.4481900380721	9.236476722599999	1998.3935232774002	189.54211632337905	0.12258500288232647	40.68675203927903
17000	-336.0812976676524	-147.06777409699293	-189.01352357065946	-189.01352357065946	9.236476722599999	1998.3935232774002	189.54211632337905	0.14801893464544597	40.94759227720123
17500	-346.51677151895115	-148.37184313680137	-198.14492838214974	-198.14492838214974	9.236476722599999	1998.3935232774002	189.54211632337905	0.2502916296235784	42.793189599973715
18000	-334.35567909300823	-144.18147900383985	-190.17420008916835	-190.17420008916835	9.236476722599999	1998.3935232774002	189.54211632337905	0.19534792074247914	40.48813215436331
18500	-324.59955883593875	-138.30217615005643	-186.29738268588235	-186.29738268588235	9.236476722599999	1998.3935232774002	189.54211632337905	0.17385677257352164	43.06889820381762
19000	-328.95386726266105	-128.32565211796356	-200.6282151446975	-200.6282151446975	9.236476722599999	1998.3935232774002	189.54211632337905	0.17427632973466187	41.54169702587938
19500	-328.36288053094813	-150.12244542084318	-178.24043511010495	-178.24043511010495	9.236476722599999	1998.3935232774002	189.54211632337905	0.13197256023235412	43.188406489111536
20000	-318.7176915179287	-135.95405882858208	-182.76363268934662	-182.76363268934662	9.236476722599999	1998.3935232774002	189.54211632337905	0.13246672798038006	40.628150504692286
20500	-390.85377659578904	-191.86191967275653	-198.99185692303251	-198.99185692303251	9.236476722599999	1998.3935232774002	189.54211632337905	0.2681146732318472	40.95394339026106
21000	-337.85248466007243	-155.04085894778441	-182.81162571228802	-182.81162571228802	9.236476722599999	1998.3935232774002	189.54211632337905	0.15224031944811003	42.70025353614518
21500	-307.3837793345763	-127.30369234239473	-180.08008699218152	-180.08008699218152	9.236476722599999	1998.3935232774002	189.54211632337905	0.1002473794899365	39.786465061550835
22000	-388.69628352230234	-192.4981497002872	-196.19813382201517	-196.19813382201517	9.236476722599999	1998.3935232774002	189.54211632337905	0.28043044863480776	40.653949086807636
22500	-328.8934855681423	-148.97361165384493	-179.9198739142974	-179.9198739142974	9.236476722599999	1998.3935232774002	189.54211632337905	0.12497185622935514	42.55047383913026
23000	-351.66643567837457	-147.46168829842856	-204.20474737994604	-204.20474737994604	9.236476722599999	1998.3935232774002	189.54211632337905	0.26819867144804277	40.76268695844317
23500	-328.42686743317864	-146.28187576380066	-182.144991669378	-182.144991669378	9.236476722599999	1998.3935232774002	189.54211632337905	0.11636684420318567	41.19637917181497
24000	-355.7597574184932	-166.3109444500626	-189.44881296843062	-189.44881296843062	9.236476722599999	1998.3935232774002	189.54211632337905	0.24737155544262773	41.25870156144028
24500	-349.8296070396518	-154.74428736586972	-195.0853196737821	-195.0853196737821	9.236476722599999	1998.3935232774002	189.54211632337905	0.14238071398191887	42.92796182100928
25000	-344.198336942991	-147.70628264051123	-196.49205430247972	-196.49205430247972	9.236476722599999	1998.3935232774002	189.54211632337905	0.13749355447920342	41.49169031609456
25500	-345.6691291125951	-158.08268853578065	-187.58644057681448	-187.58644057681448	9.236476722599999	1998.3935232774002	189.54211632337905	0.22712240669870176	40.999358403375844
26000	-364.81062223622786	-164.12826535895803	-200.68235687726983	-200.68235687726983	9.236476722599999	1998.3935232774002	189.54211632337905	0.3431837579926609	41.40798427130062
26500	-308.0140946750321	-131.67957495203325	-176.33451972299883	-176.33451972299883	9.236476722599999	1998.3935232774002	189.54211632337905	0.10092015129721678	40.5382015773196
27000	-320.1255436766787	-138.42603787390166	-181.69950580277708	-181.69950580277708	9.236476722599999	1998.3935232774002	189.54211632337905	0.14617239169326834	42.03266699362809
27500	-381.2430894903073	-194.99635846305432	-186.246731027253	-186.246731027253	9.236476722599999	1998.3935232774002	189.54211632337905	0.22942649338361915	38.539321515282495
28000	-325.4637700572508	-147.19605153054783	-178.26771852670302	-178.26771852670302	9.236476722599999	1998.3935232774002	189.54211632337905	0.11039068580499896	40.574100412023775
28500	-320.1580708101844	-141.20299960691344	-178.95507120327102	-178.95507120327102	9.236476722599999	1998.3935232774002	189.54211632337905	0.11640001273416734	40.41552175331446
29000	-326.12948369888454	-129.21617432668802	-196.91330937219655	-196.91330937219655	9.236476722599999	1998.3935232774002	189.54211632337905	0.11950947333636591	40.54218665795114
29500	-339.91207785036613	-142.21444068992048	-197.69763716044565	-197.69763716044565	9.236476722599999	1998.3935232774002	189.54211632337905	0.2727394869532744	41.54155908694904
